OSGR,MeanTemp,Woodland,Farming,Urban,Calc_Grass,CHALK
TQ2786,10.24040362790404,36,10,8,4,FALSE
TL0630,9.3735525977187,22,63,6,6,TRUE
TQ8285,10.21833004866027,6,46,3,23,TRUE
SU0286,9.385588307595295,57,36,1,1,FALSE
TM4667,9.641203343782475,47,12,1,0,FALSE
TQ7513,10.087683799057563,46,34,7,8,TRUE
ST8575,9.141901249950692,22,63,1,12,FALSE
SO9408,8.680474054136585,41,49,0,4,FALSE
TQ3306,10.03730126765121,6,35,47,10,FALSE
TQ3682,10.932987778393713,6,5,85,0,FALSE
SU7012,9.769186097116712,8,21,57,11,FALSE
TL6807,9.597147003213358,6,68,23,0,FALSE
ST4155,9.648909040301184,13,54,0,0,FALSE
TL6707,9.597147003213358,6,82,8,1,FALSE
TL6569,9.746567226309828,32,50,0,11,FALSE
SU1163,9.006495347464396,6,89,0,0,FALSE
SU8992,9.492159593416051,13,34,23,22,TRUE
TQ3707,9.767177761226408,23,46,4,2,FALSE
TL2189,9.60212940258019,12,79,4,0,TRUE
TF7144,9.441379028741196,0,65,0,16,TRUE
SU7396,9.186300814301266,4,57,8,24,FALSE
TL2384,9.564043867090602,23,68,0,7,TRUE
TF4693,9.30023602527427,0,10,1,0,FALSE
SU6190,9.191727351091744,2,50,13,24,FALSE
TQ3358,9.663072296401165,18,12,47,19,FALSE
SU9585,9.613772439037197,88,2,8,0,FALSE
TF0704,9.432862472478607,24,37,13,19,TRUE
TQ2868,10.587511412492711,11,5,36,0,TRUE
SU3409,10.064577480154998,97,1,0,0,FALSE
SU2435,9.246693977511889,1,69,2,22,TRUE
TR1051,9.712000080195866,71,21,0,6,TRUE
TQ9934,9.97222732633072,46,14,25,12,TRUE
SP7221,8.857156634234297,19,57,0,21,FALSE
SO8060,9.60933930630808,37,40,0,7,FALSE
TM1931,9.647263341287475,39,31,0,1,TRUE
SZ0896,10.041156542050492,20,33,39,3,TRUE
TM1117,9.889846852401696,1,24,8,3,FALSE
ST3424,10.08503232992912,3,71,0,0,TRUE
SP4710,9.812301011352552,14,46,5,5,FALSE
TQ9835,9.916104497587572,96,0,3,0,FALSE
TQ1953,9.111955242770035,58,16,9,4,FALSE
SU9933,9.587604441725544,56,30,4,3,FALSE
SZ4184,10.002416004718144,31,59,1,0,TRUE
SP7021,8.857156634234297,25,62,0,11,FALSE
TR1160,10.115867956232323,72,14,1,9,TRUE
ST7913,9.739578900087052,30,63,0,0,FALSE
SU4101,10.463138575383306,70,18,3,0,TRUE
TQ0948,9.211168862242465,47,44,2,3,FALSE
SU2438,9.246693977511889,5,2,0,81,FALSE
TQ1752,9.111955242770035,70,13,6,5,FALSE
ST8807,9.626011070228763,18,43,32,2,FALSE
SU6914,9.812213648425638,13,57,10,11,FALSE
SU7535,9.530690284331495,17,60,0,20,TRUE
TQ4310,10.013847901334405,16,15,0,66,FALSE
SU4616,10.35252576837155,33,31,2,2,TRUE
SO9756,9.526918117478909,46,39,1,2,TRUE
TQ3568,10.371619647335432,8,16,36,0,FALSE
SO9316,9.536638877339342,17,57,1,9,FALSE
SY9287,10.107501534160088,11,28,44,3,FALSE
SO7839,9.598792674354158,3,45,0,45,FALSE
TQ2277,10.700838587265316,0,14,74,0,FALSE
ST4930,9.999506978093974,9,57,20,9,TRUE
ST1115,9.377414570958006,30,45,5,2,TRUE
ST2416,9.09893057436076,62,29,5,0,TRUE
SO3829,9.13863018579246,19,49,0,17,TRUE
SU2531,9.457844127062382,48,47,0,2,TRUE
SU8463,9.472142217125048,15,5,61,0,FALSE
SK9423,8.791861938662233,57,23,14,3,TRUE
SP3958,9.126994009878462,28,40,12,8,TRUE
SP2060,9.111339402467438,26,49,0,15,FALSE
SK9522,8.885340243491473,28,51,15,1,FALSE
SU6804,10.746451365238908,0,65,2,9,FALSE
SP8406,9.371304962215635,37,54,1,5,FALSE
SU6374,9.600245678665484,20,42,12,3,FALSE
ST2519,9.462354359970536,66,32,0,0,FALSE
SY9777,9.925862380260355,0,95,3,0,TRUE
SU3838,9.744760120263493,15,71,0,9,TRUE
SZ3199,10.061810575936,25,55,15,0,FALSE
TQ1349,9.01488074913577,35,39,0,2,FALSE
SP9009,8.821525828556352,25,52,1,19,TRUE
SU4806,10.63174291009677,1,12,32,2,TRUE
SU5010,10.296064689536458,53,13,2,16,TRUE
ST6130,9.753552082436588,0,85,1,2,FALSE
SY6782,10.44227302796604,7,67,9,14,FALSE
TL3263,9.470591754695691,0,91,3,4,TRUE
SP9008,8.821525828556352,32,57,1,4,FALSE
SZ0696,10.041156542050492,14,16,68,0,FALSE
SO8141,10.128111755341845,12,65,4,15,FALSE
TQ3602,10.14288388143137,13,20,12,9,FALSE
ST4932,9.999506978093974,27,67,1,2,FALSE
TF0420,8.95946816896866,30,53,1,11,FALSE
SU6651,9.797605890876614,18,29,8,16,FALSE
SY8588,10.016887793325033,71,20,0,0,FALSE
TF0022,8.95946816896866,3,86,2,1,FALSE
TQ5307,9.85955770459462,5,39,11,0,FALSE
SK1666,7.704387976493572,5,72,1,20,FALSE
SU0019,9.301296487250768,7,64,1,14,FALSE
